time,IMU1.loc_acc_x,IMU1.loc_acc_y,IMU1.loc_acc_z,IMU2.loc_acc_x,IMU2.loc_acc_y,IMU2.loc_acc_z,IMU1.gyro_x,IMU1.gyro_y,IMU1.gyro_z,IMU2.gyro_x,IMU2.gyro_y,IMU2.gyro_z,IMU1.quat_i,IMU1.quat_j,IMU1.quat_k,IMU1.quat_w,IMU2.quat_i,IMU2.quat_j,IMU2.quat_k,IMU2.quat_w,IMU1.roll_x,IMU1.pitch_y,IMU1.yaw_z,IMU2.roll_x,IMU2.pitch_y,IMU2.yaw_z,IMU1.localVelocity_x,IMU1.localVelocity_y,IMU1.localVelocity_z,IMU2.localVelocity_x,IMU2.localVelocity_y,IMU2.localVelocity_z,IMU1.globalVelocity_x,IMU1.globalVelocity_y,IMU1.globalVelocity_z,IMU2.globalVelocity_x,IMU2.globalVelocity_y,IMU2.globalVelocity_z,mcl_sync,label_sync
1677190281347999,0.333373,0.823741,0.132406,-0.631475,6.398572,2.370734,-0.744155,-0.323667,0.165262,-2.608217,0.330765,0.089491,0.643344,0.005258,-0.004417,0.765707,-0.435310,-0.310413,-0.162900,0.829406,1.397792,0.013737,0.000001,-0.966998,-0.716488,0.000042,0.005763,0.118681,-0.248287,0.124206,-0.047106,-0.191175,-0.034749,0.781996,-0.211174,0.549655,-1.029157,-0.308647,0,0
1677190281367999,-0.112319,-0.327466,0.318617,-1.053899,8.325026,3.270194,-0.510019,-0.252336,0.124346,-4.801794,0.992059,-0.231870,0.635437,0.004705,-0.003870,0.772288,-0.386496,-0.333652,-0.152326,0.846415,1.377219,0.012186,0.000001,-0.857063,-0.751264,0.000067,0.004575,0.098496,-0.216658,0.098589,0.152612,-0.074685,-0.036821,0.766695,-0.213795,0.594220,-0.862297,-0.386325,0,0
1677190281388000,-0.588136,-0.329019,0.020528,-1.065040,-2.825507,-1.649017,-0.195293,-0.175381,0.166014,-6.401660,1.405156,-0.183417,0.632856,0.007863,-0.006426,0.774360,-0.472568,-0.298032,-0.173613,0.811266,1.370598,0.020312,0.000001,-1.055409,-0.704503,-0.000016,-0.006178,0.078762,-0.191815,0.073200,0.128970,-0.057940,-0.048474,0.757204,-0.217366,0.560082,-0.910496,-0.377680,0,0
1677190281408000,-0.293655,0.192499,-0.490106,-1.441736,-6.707964,-4.623602,-0.041740,-0.104273,0.168392,-5.100556,1.453767,-0.249166,0.636569,0.008425,-0.006953,0.771300,-0.558238,-0.257110,-0.187243,0.766584,1.380219,0.021849,0.000000,-1.259350,-0.647563,-0.000023,-0.011093,0.069951,-0.178025,0.040733,0.027311,-0.102087,-0.054067,0.759786,-0.212756,0.480622,-1.031339,-0.318485,0,0
1677190281428000,-0.098477,0.580577,0.136630,0.084360,-1.092334,-3.882155,0.103518,-0.034581,0.104555,-4.517270,1.303755,-0.164927,0.637341,0.008051,-0.006658,0.770669,-0.622810,-0.238532,-0.207519,0.715915,1.382213,0.020898,0.000000,-1.432399,-0.643534,-0.000014,-0.012156,0.069404,-0.152558,0.039245,0.037582,-0.132843,-0.055551,0.751518,-0.198233,0.478894,-1.102939,-0.311400,0,0
1677190281448000,-0.126056,0.482400,0.128297,-0.170195,-5.798146,-4.040087,0.066964,-0.045173,0.060122,-3.567528,0.790227,-0.139012,0.637683,0.008289,-0.006861,0.770382,-0.674509,-0.210420,-0.209951,0.676036,1.383107,0.021524,0.000000,-1.568950,-0.603747,-0.000010,-0.013824,0.067405,-0.128128,0.033125,-0.046661,-0.168226,-0.057621,0.743044,-0.185653,0.413867,-1.175707,-0.220649,0,0
1677190281468000,-0.341530,0.072213,-0.302700,-1.230368,-2.429781,-5.482061,-0.041222,-0.071737,0.068749,-1.249498,0.266750,-0.329851,0.639688,0.010175,-0.008468,0.768679,-0.716657,-0.188245,-0.211606,0.637573,1.388367,0.026480,0.000000,-1.687819,-0.574407,-0.000017,-0.019856,0.057723,-0.113199,0.006262,-0.063949,-0.233945,-0.064205,0.741513,-0.182576,0.363576,-1.270675,-0.185423,0,0
1677190281488000,-0.175713,-0.192940,-0.355372,-2.017521,1.324964,-4.197192,-0.132207,-0.083788,0.126179,0.300224,-0.183007,-0.883863,0.640952,0.010326,-0.008622,0.767622,-0.749336,-0.174744,-0.218038,0.600590,1.391662,0.026908,0.000000,-1.790614,-0.566481,-0.000022,-0.022628,0.043262,-0.100213,-0.035883,-0.006565,-0.275486,-0.067619,0.740080,-0.184964,0.337145,-1.350127,-0.216125,0,0
1677190281508000,0.290576,-0.539293,-0.513377,-2.567700,1.058043,-2.649783,-0.100314,-0.146550,0.139963,1.440306,-0.562582,-1.652381,0.643404,0.006527,-0.005485,0.765639,-0.765959,-0.166494,-0.219471,0.581103,1.397969,0.017054,0.000001,-1.843843,-0.558261,-0.000018,-0.016131,0.022405,-0.091282,-0.088572,0.045044,-0.287618,-0.061784,0.740609,-0.194869,0.300398,-1.398643,-0.251153,0,0
1677190281528000,0.770348,-0.279204,-0.136309,-2.069185,-4.063879,-1.937640,0.003111,-0.132498,0.046791,3.435352,-0.748522,-2.243039,0.644118,-0.000078,0.000066,0.765086,-0.753482,-0.167950,-0.210971,0.599852,1.399775,-0.000206,0.000001,-1.797176,-0.546168,-0.000011,-0.000096,0.007283,-0.075709,-0.130833,-0.006230,-0.287061,-0.046141,0.734626,-0.198243,0.223006,-1.409996,-0.200185,0,0
1677190281547999,0.548683,-0.115462,-0.110295,-1.602315,-3.229305,-3.484724,-0.016033,-0.070383,-0.056226,6.106995,-0.717963,-2.366322,0.644642,-0.003838,0.003236,0.764628,-0.729402,-0.176763,-0.205170,0.628444,1.401165,-0.010043,0.000000,-1.719581,-0.548577,-0.000016,0.011448,-0.004028,-0.060514,-0.163303,-0.041267,-0.319009,-0.034907,0.728702,-0.198187,0.160636,-1.461203,-0.156248,0,0
1677190281567999,-0.064794,-0.150083,0.277727,-0.286466,5.836016,-1.039117,-0.036093,-0.120438,-0.009617,6.220767,-0.639830,-1.662157,0.642080,-0.003473,0.002909,0.766783,-0.690723,-0.227190,-0.244523,0.641790,1.394471,-0.009062,0.000001,-1.644714,-0.680795,-0.000019,0.010664,-0.015495,-0.038457,-0.169004,0.104540,-0.303615,-0.035950,0.715010,-0.197580,0.232143,-1.482349,-0.251812,0,0
1677190281587999,-0.721098,-0.062876,0.207063,1.495541,-0.399271,3.116901,-0.073822,-0.234436,0.177867,3.422711,-0.642191,-0.315679,0.639841,-0.000151,0.000126,0.768666,-0.644691,-0.250096,-0.236080,0.682946,1.388620,-0.000393,0.000001,-1.513612,-0.702335,0.000013,-0.003306,-0.024683,-0.018707,-0.138618,0.125172,-0.206675,-0.050138,0.703025,-0.195468,0.251228,-1.412460,-0.226337,0,0
1677190281607999,-0.835146,0.458717,0.113794,2.416772,-7.389693,2.717611,-0.069416,-0.260766,0.337927,1.399630,-0.328607,0.971645,0.639010,0.002167,-0.001799,0.769352,-0.632499,-0.238383,-0.213718,0.705490,1.386464,0.005634,0.000001,-1.462142,-0.651910,0.000003,-0.019615,-0.022905,-0.001711,-0.089366,0.005519,-0.119293,-0.066553,0.694798,-0.183331,0.200708,-1.366420,-0.078183,0,0
1677190281628000,-0.459775,1.297484,0.274001,1.250588,-6.629639,3.456151,0.050891,-0.211565,0.224392,1.356122,0.605337,1.570957,0.639260,0.002672,-0.002220,0.769141,-0.614701,-0.220215,-0.184203,0.734852,1.387118,0.006949,0.000001,-1.393550,-0.582496,0.000010,-0.028477,-0.003821,0.017608,-0.063002,-0.099415,-0.018707,-0.075331,0.686495,-0.154142,0.146888,-1.313749,0.052098,0,0
1677190281648000,-0.337632,1.178131,0.354998,-1.024337,3.650128,1.023523,0.031669,-0.080605,-0.032416,1.481757,1.402868,1.423317,0.638694,0.004880,-0.004050,0.769592,-0.573802,-0.224051,-0.166939,0.770052,1.385671,0.012684,0.000000,-1.281119,-0.566453,0.000022,-0.034955,0.013403,0.037677,-0.081707,0.000762,0.031668,-0.081540,0.676212,-0.126976,0.167799,-1.265227,-0.015664,0,0
1677190281668000,0.103711,0.101053,0.112853,-0.816262,9.538533,-0.735172,-0.235331,-0.064467,-0.081719,-0.612192,1.634749,1.374291,0.635902,0.004775,-0.003934,0.771903,-0.530229,-0.268391,-0.181569,0.783701,1.378423,0.012376,0.000000,-1.190055,-0.660133,0.000033,-0.032665,0.009607,0.052044,-0.095828,0.218218,0.045323,-0.079203,0.666748,-0.121967,0.270651,-1.199911,-0.172578,0,0
